,step,AverageReturn
84,8500,-1599.7900390625
85,8600,-1931.31005859375
86,8700,-1657.260009765625
87,8800,-1697.4100341796875
88,8900,-1302.1400146484375
89,9000,-1461.25
90,9100,-1345.780029296875
91,9200,-1247.1400146484375
92,9300,-1736.989990234375
93,9400,-1552.3699951171875
94,9500,-1174.780029296875
95,9600,-1285.9000244140625
96,9700,-1439.800048828125
97,9800,-1622.489990234375
98,9900,-1453.9000244140625
99,10000,-1638.43994140625
100,10100,-1485.02001953125
101,10200,-1694.2900390625
102,10300,-1486.949951171875
103,10400,-1307.77001953125
104,10500,-1619.72998046875
105,10600,-1705.8499755859375
106,10700,-1492.510009765625
107,10800,-1324.3900146484375
108,10900,-1245.050048828125
109,11000,-1544.5999755859375
110,11100,-1067.4599609375
111,11200,-1467.260009765625
112,11300,-1151.3599853515625
113,11400,-1060.699951171875
114,11500,-1381.1300048828125
115,11600,-1546.9300537109375
116,11700,-1164.510009765625
117,11800,-1268.25
118,11900,-1286.0699462890625
119,12000,-1338.3199462890625
120,12100,-1021.6900024414062
121,12200,-1146.0999755859375
122,12300,-1191.050048828125
123,12400,-1309.7900390625
124,12500,-1196.06005859375
125,12600,-1299.47998046875
126,12700,-1324.43994140625
127,12800,-1189.3599853515625
128,12900,-1288.6600341796875
129,13000,-1293.4200439453125
130,13100,-1237.4599609375
131,13200,-1447.300048828125
132,13300,-1548.9000244140625
133,13400,-1270.030029296875
134,13500,-1350.199951171875
135,13600,-1248.1300048828125
136,13700,-1254.719970703125
137,13800,-1313.4000244140625
138,13900,-1290.8199462890625
139,14000,-1216.6800537109375
140,14100,-1262.8299560546875
141,14200,-1433.93994140625
142,14300,-1348.260009765625
143,14400,-1371.3499755859375
144,14500,-1425.18994140625
145,14600,-1061.719970703125
146,14700,-1069.81005859375
147,14800,-1179.949951171875
148,14900,-1075.4100341796875
149,15000,-1274.5699462890625
150,15100,-1230.25
151,15200,-1189.010009765625
152,15300,-1138.780029296875
153,15400,-1203.8800048828125
154,15500,-990.1900024414062
155,15600,-1075.949951171875
156,15700,-1203.219970703125
157,15800,-1243.9300537109375
158,15900,-1188.81005859375
159,16000,-1300.510009765625
160,16100,-1375.5799560546875
161,16200,-1044.550048828125
162,16300,-1260.8299560546875
163,16400,-1193.0899658203125
164,16500,-1403.5699462890625
165,16600,-1285.4100341796875
166,16700,-1165.3299560546875
167,16800,-1179.5799560546875
168,16900,-1116.06005859375
169,17000,-1191.0799560546875
170,17100,-1188.0400390625
171,17200,-1069.1199951171875
172,17300,-1117.5799560546875
173,17400,-1091.949951171875
174,17500,-1238.5899658203125
175,17600,-1134.1600341796875
176,17700,-1117.8199462890625
177,17800,-1128.530029296875
178,17900,-1181.3900146484375
179,18000,-1109.4599609375
180,18100,-1421.1300048828125
181,18200,-1058.6800537109375
182,18300,-1235.3900146484375
183,18400,-1200.1700439453125
184,18500,-1249.25
185,18600,-1064.030029296875
186,18700,-1128.27001953125
187,18800,-1179.6099853515625
188,18900,-1113.219970703125
189,19000,-1194.25
190,19100,-1085.25
191,19200,-1182.719970703125
192,19300,-1206.68994140625
193,19400,-1188.489990234375
194,19500,-1065.1600341796875
195,19600,-1178.8499755859375
196,19700,-1174.02001953125
197,19800,-1085.6600341796875
198,19900,-1197.239990234375
199,20000,-1094.469970703125
200,20100,-1077.75
201,20200,-1281.050048828125
202,20300,-1041.5799560546875
203,20400,-1092.77001953125
204,20500,-1058.3800048828125
205,20600,-1044.969970703125
206,20700,-1286.510009765625
207,20800,-1017.8200073242188
208,20900,-1210.1300048828125
209,21000,-1025.6500244140625
210,21100,-1116.3699951171875
211,21200,-1157.030029296875
212,21300,-1015.9500122070312
213,21400,-1163.5400390625
214,21500,-1197.010009765625
215,21600,-1086.050048828125
216,21700,-1033.56005859375
217,21800,-1164.7900390625
218,21900,-1308.3800048828125
219,22000,-1105.6300048828125
220,22100,-1063.719970703125
221,22200,-1139.989990234375
222,22300,-1428.93994140625
223,22400,-1241.5799560546875
224,22500,-1133.3699951171875
225,22600,-1177.02001953125
226,22700,-1118.43994140625
227,22800,-1237.239990234375
228,22900,-978.030029296875
229,23000,-1280.6199951171875
230,23100,-1211.800048828125
231,23200,-1290.2900390625
232,23300,-1141.72998046875
233,23400,-1046.6500244140625
234,23500,-1299.52001953125
235,23600,-1023.6199951171875
236,23700,-1205.27001953125
237,23800,-1222.75
238,23900,-1212.1400146484375
239,24000,-1248.3299560546875
240,24100,-1166.800048828125
241,24200,-1146.449951171875
242,24300,-1098.3299560546875
243,24400,-1228.800048828125
244,24500,-1064.75
245,24600,-1049.239990234375
246,24700,-1134.3599853515625
247,24800,-1025.6500244140625
248,24900,-1151.1600341796875
249,25000,-1124.4000244140625
250,25100,-1235.239990234375
251,25200,-1277.3599853515625
252,25300,-1087.3199462890625
253,25400,-1193.47998046875
254,25500,-1010.1400146484375
255,25600,-1127.0999755859375
256,25700,-1165.8599853515625
257,25800,-1105.7099609375
258,25900,-1071.8499755859375
259,26000,-1195.18994140625
260,26100,-1118.780029296875
261,26200,-1067.7099609375
262,26300,-1067.81005859375
263,26400,-1159.969970703125
264,26500,-1135.739990234375
265,26600,-1032.8599853515625
266,26700,-1136.5
267,26800,-1111.43994140625
268,26900,-979.010009765625
269,27000,-1163.1199951171875
270,27100,-1183.5999755859375
271,27200,-1220.5999755859375
272,27300,-1208.3699951171875
273,27400,-1106.3800048828125
274,27500,-1090.5899658203125
275,27600,-1085.5999755859375
276,27700,-1048.4000244140625
277,27800,-1052.72998046875
278,27900,-990.9299926757812
279,28000,-1123.530029296875
280,28100,-1285.7099609375
281,28200,-1125.6099853515625
282,28300,-1134.3900146484375
283,28400,-1157.030029296875
284,28500,-1077.239990234375
285,28600,-1141.02001953125
286,28700,-1197.8199462890625
287,28800,-1142.9599609375
288,28900,-1015.8200073242188
289,29000,-1144.1400146484375
290,29100,-1049.469970703125
291,29200,-1023.9000244140625
292,29300,-1104.52001953125
293,29400,-1160.800048828125
294,29500,-1196.1199951171875
295,29600,-1062.0899658203125
296,29700,-1177.6300048828125
297,29800,-1145.6700439453125
298,29900,-1106.93994140625
299,30000,-1133.6099853515625
