,step,TrainAverageReturn,EvalAverageReturn,Alpha
0,10000,-12683.064453125,-11204.2998046875,0.9997000694274902
1,10104,-11536.1474609375,-11570.5,0.9993997812271118
2,10208,-11775.037109375,-12582.599609375,0.9990989565849304
3,10312,-11805.9990234375,-6066.2001953125,0.9987975358963013
4,10416,-12135.609375,-17374.099609375,0.9984956383705139
5,10520,-11984.0830078125,-13274.5,0.9981932640075684
6,10624,-12315.3818359375,-9632.5,0.9978905320167542
7,10728,-12242.6044921875,-11396.099609375,0.9975875616073608
8,10832,-12318.578125,-14301.400390625,0.997284471988678
9,10936,-12290.0,-19112.0,0.9969813823699951
10,11040,-12512.005859375,-8075.39990234375,0.9966781735420227
11,11144,-12519.654296875,-4541.7998046875,0.9963751435279846
12,11248,-12465.802734375,-5809.10009765625,0.9960721135139465
13,11352,-12452.341796875,-10218.7998046875,0.9957690834999084
14,11456,-12614.6171875,-14081.7998046875,0.9954662322998047
15,11560,-12502.2138671875,-5617.7998046875,0.9951635003089905
16,11664,-12383.1044921875,-13739.2001953125,0.9948609471321106
17,11768,-12339.6396484375,-16761.599609375,0.9945583939552307
18,11872,-12348.373046875,-5520.39990234375,0.9942559003829956
19,11976,-12305.0205078125,-12638.599609375,0.99395352602005
20,12080,-12362.0537109375,-4741.2001953125,0.993651270866394
21,12184,-12357.525390625,-10562.0,0.993349015712738
22,12288,-12448.9033203125,-6229.89990234375,0.9930469393730164
23,12392,-12452.755859375,-7141.7998046875,0.9927448034286499
24,12496,-12391.1962890625,-11095.900390625,0.9924426674842834
25,12600,-12386.8154296875,-7907.10009765625,0.9921405911445618
26,12704,-12400.3759765625,-6506.2001953125,0.9918385148048401
27,12808,-12357.5830078125,-22006.0,0.991536557674408
28,12912,-12325.25,-14094.0,0.9912346005439758
29,13016,-12298.708984375,-14434.2001953125,0.9909327030181885
30,13120,-12276.146484375,-8100.0,0.9906308650970459
31,13224,-12276.287109375,-12953.400390625,0.9903292059898376
