,step,AverageReturn
293,40472,-15928.900390625
294,40576,-15536.599609375
295,40680,-9761.400390625
296,40784,-19638.400390625
297,40888,-15770.2998046875
298,40992,-11890.0
299,41096,-18000.5
300,41200,-23757.5
301,41304,-12328.0
302,41408,-7893.2001953125
303,41512,-9069.0
304,41616,-19982.400390625
305,41720,-7697.7998046875
306,41824,-13151.099609375
307,41928,-8033.60009765625
308,42032,-16148.7001953125
309,42136,-8297.0
310,42240,-18910.5
311,42344,-14340.2001953125
312,42448,-12787.400390625
313,42552,-14704.900390625
314,42656,-8070.5
315,42760,-11454.099609375
316,42864,-10342.5
317,42968,-7880.89990234375
318,43072,-11501.5
319,43176,-13263.2998046875
320,43280,-8361.7001953125
321,43384,-16372.599609375
322,43488,-13036.2001953125
323,43592,-14681.400390625
324,43696,-20679.599609375
325,43800,-10058.2001953125
326,43904,-18492.5
327,44008,-16081.7001953125
328,44112,-14118.2001953125
329,44216,-17905.599609375
330,44320,-7957.2001953125
331,44424,-15231.7998046875
332,44528,-12592.0
333,44632,-12525.599609375
334,44736,-13793.0
335,44840,-10371.2998046875
336,44944,-12973.400390625
337,45048,-17133.5
338,45152,-6089.5
339,45256,-12380.900390625
340,45360,-9096.0
341,45464,-14944.2998046875
342,45568,-15271.7001953125
343,45672,-10325.7001953125
344,45776,-4929.7998046875
345,45880,-9311.0
346,45984,-13746.5
347,46088,-5494.39990234375
348,46192,-16653.19921875
349,46296,-8490.900390625
350,46400,-11306.5
351,46504,-8090.89990234375
352,46608,-4491.2998046875
353,46712,-8551.0
354,46816,-8754.7001953125
355,46920,-11049.7001953125
356,47024,-11055.2001953125
357,47128,-11358.7001953125
358,47232,-13374.400390625
359,47336,-9697.099609375
360,47440,-9895.400390625
361,47544,-8090.89990234375
362,47648,-8253.2998046875
363,47752,-7246.5
364,47856,-15500.2998046875
365,47960,-9399.2998046875
366,48064,-7524.2001953125
367,48168,-6152.2998046875
368,48272,-6861.39990234375
369,48376,-5973.39990234375
370,48480,-8209.5
371,48584,-9816.7998046875
372,48688,-12162.599609375
373,48792,-6058.39990234375
374,48896,-15718.5
375,49000,-12223.400390625
376,49104,-11253.0
377,49208,-16088.099609375
378,49312,-14160.5
379,49416,-14245.900390625
380,49520,-17834.19921875
381,49624,-14254.900390625
382,49728,-16223.7998046875
383,49832,-15280.2998046875
384,49936,-11231.400390625
385,50040,-13518.2998046875
386,50144,-19989.30078125
387,50248,-11105.0
388,50352,-13221.599609375
389,50456,-11739.599609375
390,50560,-22036.19921875
391,50664,-13976.900390625
392,50768,-6744.60009765625
393,50872,-7705.60009765625
394,50976,-17796.80078125
395,51080,-10777.2001953125
396,51184,-11585.5
397,51288,-7857.7001953125
398,51392,-12241.599609375
399,51496,-19346.19921875
400,51600,-12254.2998046875
401,51704,-9080.2998046875
402,51808,-14442.2001953125
403,51912,-19265.0
404,52016,-11873.599609375
405,52120,-12853.400390625
406,52224,-22145.19921875
407,52328,-13994.400390625
408,52432,-16505.0
409,52536,-14057.099609375
410,52640,-10807.7001953125
411,52744,-20484.400390625
412,52848,-9204.599609375
413,52952,-19092.80078125
414,53056,-16351.099609375
415,53160,-12616.2001953125
416,53264,-13707.599609375
417,53368,-11553.599609375
418,53472,-14187.400390625
419,53576,-9962.599609375
420,53680,-8125.2001953125
421,53784,-16660.599609375
422,53888,-11764.599609375
423,53992,-8307.7998046875
424,54096,-14648.900390625
425,54200,-18727.19921875
426,54304,-12251.400390625
427,54408,-8341.2001953125
428,54512,-10241.900390625
429,54616,-10974.400390625
430,54720,-15242.7001953125
431,54824,-10830.7998046875
432,54928,-15906.400390625
433,55032,-6273.39990234375
434,55136,-8078.7998046875
435,55240,-10400.0
436,55344,-12927.7998046875
437,55448,-13399.400390625
438,55552,-9807.0
439,55656,-7859.0
440,55760,-5206.2001953125
441,55864,-8881.7998046875
442,55968,-6918.39990234375
443,56072,-5896.60009765625
444,56176,-10851.7998046875
445,56280,-3657.800048828125
446,56384,-5246.7998046875
447,56488,-3534.39990234375
448,56592,-4263.2001953125
449,56696,-8036.2001953125
450,56800,-2547.60009765625
451,56904,-8487.0
452,57008,-7868.60009765625
453,57112,-3750.800048828125
454,57216,-7518.2001953125
455,57320,-11801.0
456,57424,-7912.60009765625
457,57528,-7811.2001953125
458,57632,-8265.400390625
459,57736,-5345.60009765625
460,57840,-2943.199951171875
461,57944,-1827.4000244140625
462,58048,-8331.0
463,58152,-3256.0
464,58256,-8113.39990234375
465,58360,-4301.60009765625
466,58464,-8180.39990234375
467,58568,-7000.60009765625
468,58672,-4224.7998046875
469,58776,-7376.0
470,58880,-3504.60009765625
471,58984,-5789.2001953125
472,59088,-6461.2001953125
473,59192,-7480.7998046875
474,59296,-5108.2001953125
475,59400,-6237.7998046875
476,59504,-7379.39990234375
477,59608,-6572.2001953125
478,59712,-6698.7998046875
479,59816,-3023.0
480,59920,-6872.60009765625
481,60024,-3164.199951171875
482,60128,-2951.199951171875
483,60232,-807.0
484,60336,-4081.0
485,60440,-3700.39990234375
486,60544,-8095.7998046875
487,60648,-6578.39990234375
488,60752,-548.0
489,60856,-4480.39990234375
490,60960,-3262.800048828125
491,61064,-1349.199951171875
492,61168,-4617.2001953125
493,61272,-2832.199951171875
494,61376,-3743.199951171875
495,61480,-5851.2001953125
496,61584,-1463.0
497,61688,-3883.199951171875
498,61792,-4361.0
499,61896,-4322.0
500,62000,-1861.4000244140625
501,62104,-1753.4000244140625
502,62208,-5556.2001953125
503,62312,-3184.39990234375
504,62416,-7246.60009765625
505,62520,-4599.7998046875
506,62624,-681.7999877929688
507,62728,-2556.60009765625
508,62832,-1235.5999755859375
509,62936,-3332.800048828125
510,63040,-1957.5999755859375
511,63144,-5673.7998046875
512,63248,-4007.800048828125
513,63352,-1559.5999755859375
514,63456,-4148.0
515,63560,-3588.0
516,63664,-4869.60009765625
517,63768,-3722.800048828125
518,63872,-2797.199951171875
519,63976,-2466.199951171875
520,64080,-2155.800048828125
521,64184,-3927.39990234375
522,64288,-3807.800048828125
523,64392,-4855.7998046875
524,64496,-1244.5999755859375
525,64600,-2800.199951171875
526,64704,-2631.60009765625
527,64808,-3424.60009765625
528,64912,-2969.60009765625
529,65016,-2289.39990234375
530,65120,-2903.39990234375
531,65224,-4513.39990234375
532,65328,-2387.199951171875
533,65432,-5566.0
534,65536,-3184.199951171875
535,65640,-1655.199951171875
536,65744,-1971.4000244140625
537,65848,-3011.699951171875
538,65952,-2990.89990234375
539,66056,-4483.89990234375
540,66160,-5363.39990234375
541,66264,-4799.89990234375
542,66368,-4048.699951171875
543,66472,-4780.60009765625
544,66576,-4047.0
545,66680,-5224.7001953125
546,66784,-593.0
547,66888,-2574.0
548,66992,-9778.0
549,67096,-3501.60009765625
550,67200,-1884.4000244140625
551,67304,-1025.0
552,67408,-941.0
553,67512,-2309.0
554,67616,-3506.199951171875
555,67720,-4967.0
556,67824,-1613.0
557,67928,-1168.199951171875
558,68032,-3436.199951171875
559,68136,-3483.0
560,68240,-3268.0
561,68344,-2632.0
562,68448,-5049.0
563,68552,-4988.5
564,68656,-2475.0
565,68760,-3257.5
566,68864,-3224.5
567,68968,-5593.5
568,69072,-2934.5
569,69176,-4823.0
570,69280,-6289.5
571,69384,-5511.5
572,69488,-4573.5
573,69592,-8706.5
574,69696,-3237.5
575,69800,-7998.0
576,69904,-11690.0
577,70008,-5904.0
578,70112,-11295.5
579,70216,-6263.0
580,70320,-4009.5
581,70424,-14922.0
582,70528,-14455.0
583,70632,-5269.0
584,70736,-5156.0
585,70840,-11250.5
586,70944,-10124.5
587,71048,-11022.0
588,71152,-8238.0
589,71256,-8474.5
590,71360,-4592.5
591,71464,-12224.0
592,71568,-8986.0
593,71672,-7450.0
594,71776,-10186.0
595,71880,-5069.0
596,71984,-8950.0
597,72088,-4664.0
598,72192,-6512.0
599,72296,-4403.0
600,72400,-9046.0
601,72504,-8488.0
602,72608,-10413.0
603,72712,-5197.0
604,72816,-7880.0
605,72920,-13854.0
606,73024,-6914.0
607,73128,-4910.0
608,73232,-7813.0
609,73336,-8423.0
610,73440,-8658.0
611,73544,-7998.0
612,73648,-3533.0
613,73752,-7237.0
614,73856,-11261.0
615,73960,-13515.0
616,74064,-4109.0
617,74168,-3536.0
618,74272,-6273.0
619,74376,-7387.0
620,74480,-9778.0
621,74584,-8738.0
622,74688,-5617.0
623,74792,-6672.0
624,74896,-4490.0
625,75000,-4662.7998046875
626,75104,-5226.0
627,75208,-5495.60009765625
628,75312,-5692.0
629,75416,-3868.0
630,75520,-6951.5
631,75624,-7154.0
632,75728,-7163.0
633,75832,-5431.0
634,75936,-8751.0
635,76040,-7099.0
636,76144,-16460.0
637,76248,-7136.0
638,76352,-11240.0
639,76456,-13418.0
640,76560,-7651.0
641,76664,-10138.0
642,76768,-6302.0
643,76872,-10607.0
644,76976,-3867.0
645,77080,-11487.0
646,77184,-9306.0
647,77288,-16934.0
648,77392,-5494.0
649,77496,-4547.0
650,77600,-7082.0
651,77704,-5734.0
652,77808,-9315.0
653,77912,-6352.7998046875
654,78016,-10664.2001953125
655,78120,-6768.0
656,78224,-5507.7998046875
657,78328,-5954.39990234375
658,78432,-3679.800048828125
659,78536,-11522.900390625
660,78640,-11193.7001953125
661,78744,-10822.0
662,78848,-8530.2001953125
663,78952,-11108.2001953125
664,79056,-9008.2998046875
665,79160,-6530.89990234375
666,79264,-7287.2001953125
667,79368,-11908.2001953125
668,79472,-9638.599609375
669,79576,-10296.900390625
670,79680,-9189.0
671,79784,-5724.0
672,79888,-7792.89990234375
673,79992,-7584.0
674,80096,-8393.5
675,80200,-3981.300048828125
676,80304,-5394.0
677,80408,-5711.10009765625
678,80512,-11962.400390625
679,80616,-5008.2998046875
680,80720,-6847.7001953125
681,80824,-7926.89990234375
682,80928,-4922.2001953125
683,81032,-3781.5
684,81136,-7481.10009765625
685,81240,-6557.0
686,81344,-9867.900390625
687,81448,-6825.60009765625
688,81552,-3554.39990234375
689,81656,-7356.2001953125
690,81760,-9780.0
691,81864,-15537.900390625
692,81968,-7808.39990234375
693,82072,-15040.7998046875
694,82176,-6955.0
695,82280,-8948.400390625
696,82384,-8370.7001953125
697,82488,-9161.7998046875
698,82592,-10854.7998046875
699,82696,-11207.900390625
700,82800,-11730.2998046875
701,82904,-7611.2998046875
702,83008,-6060.0
703,83112,-14597.599609375
704,83216,-16590.69921875
705,83320,-6620.0
706,83424,-11480.2001953125
707,83528,-15278.099609375
708,83632,-11590.900390625
709,83736,-6402.2998046875
710,83840,-10371.7001953125
711,83944,-5577.2998046875
712,84048,-10631.5
713,84152,-11079.7001953125
714,84256,-7060.2001953125
715,84360,-14670.400390625
716,84464,-12934.900390625
717,84568,-8805.2001953125
718,84672,-5075.60009765625
719,84776,-8870.400390625
720,84880,-7053.7998046875
721,84984,-4223.39990234375
722,85088,-8180.39990234375
723,85192,-13324.2001953125
724,85296,-11321.2998046875
725,85400,-9760.5
726,85504,-7714.0
727,85608,-17501.099609375
728,85712,-7218.39990234375
729,85816,-7145.5
730,85920,-7739.2998046875
731,86024,-13998.5
732,86128,-10693.2001953125
733,86232,-10601.7998046875
734,86336,-10974.2998046875
735,86440,-9649.900390625
736,86544,-16606.400390625
737,86648,-9377.7998046875
738,86752,-7793.7001953125
739,86856,-13891.900390625
740,86960,-12923.2001953125
741,87064,-10116.900390625
742,87168,-5279.39990234375
743,87272,-7241.60009765625
744,87376,-5066.89990234375
745,87480,-9309.099609375
746,87584,-4781.60009765625
747,87688,-7427.60009765625
748,87792,-6906.0
749,87896,-3494.0
750,88000,-6560.0
751,88104,-5448.60009765625
752,88208,-4453.7001953125
753,88312,-4598.60009765625
754,88416,-3452.89990234375
755,88520,-5624.89990234375
756,88624,-6492.0
757,88728,-3443.89990234375
758,88832,-5169.89990234375
759,88936,-2911.800048828125
760,89040,-2116.89990234375
761,89144,-1912.9000244140625
762,89248,-2302.89990234375
763,89352,-2407.0
764,89456,-2256.5
765,89560,-2977.60009765625
766,89664,-1623.5
767,89768,-661.4000244140625
768,89872,-1570.9000244140625
769,89976,-5174.7001953125
770,90080,-1501.5
771,90184,-3134.60009765625
772,90288,-2456.5
773,90392,-4251.2001953125
774,90496,-5095.10009765625
775,90600,-3688.0
776,90704,-3985.300048828125
777,90808,-5615.2001953125
778,90912,-2037.0999755859375
779,91016,-1610.0
780,91120,-1585.199951171875
781,91224,-1904.800048828125
782,91328,-4804.60009765625
783,91432,-1804.4000244140625
784,91536,-1900.5
785,91640,-3149.5
786,91744,-4326.60009765625
787,91848,-2555.5
788,91952,-3389.699951171875
789,92056,-2660.39990234375
790,92160,-2101.39990234375
791,92264,-4751.7001953125
792,92368,-2621.800048828125
793,92472,-3834.699951171875
794,92576,-3464.5
795,92680,-4834.7001953125
796,92784,-2105.800048828125
797,92888,-695.5
798,92992,-2508.5
799,93096,-3980.5
800,93200,-2957.699951171875
801,93304,-1697.5
802,93408,-3264.39990234375
803,93512,-2788.199951171875
804,93616,-3388.699951171875
805,93720,-3711.800048828125
806,93824,-2990.39990234375
807,93928,-3964.800048828125
808,94032,-2143.800048828125
809,94136,-4621.0
810,94240,-1617.800048828125
811,94344,-5327.7998046875
812,94448,-1714.5999755859375
813,94552,-1291.5999755859375
814,94656,-7232.7998046875
815,94760,-2062.60009765625
