,step,TrainAverageReturn,EvalAverageReturn,Alpha
0,10000,-12683.064453125,-11204.2998046875,0.9997000694274902
1,10104,-11618.6767578125,-11517.2998046875,0.9994000196456909
2,10208,-12003.9921875,-12669.0,0.9990993738174438
3,10312,-12112.775390625,-6066.2001953125,0.9987981915473938
4,10416,-12251.7509765625,-17198.099609375,0.9984964728355408
5,10520,-12153.1865234375,-13621.7001953125,0.99819415807724
6,10624,-12394.3193359375,-9632.5,0.9978915452957153
7,10728,-12404.2841796875,-12180.5,0.9975886344909668
8,10832,-12422.802734375,-14994.7998046875,0.9972855448722839
9,10936,-12473.0078125,-19389.19921875,0.9969823956489563
10,11040,-12634.08203125,-8095.60009765625,0.9966793656349182
11,11144,-12631.9873046875,-4506.7001953125,0.9963763356208801
12,11248,-12592.4091796875,-5861.39990234375,0.9960733652114868
13,11352,-12540.1162109375,-10358.400390625,0.9957704544067383
14,11456,-12690.0361328125,-14098.400390625,0.9954676628112793
15,11560,-12605.5146484375,-5444.2001953125,0.9951650500297546
16,11664,-12481.109375,-13737.2001953125,0.9948625564575195
17,11768,-12431.8212890625,-16726.400390625,0.9945603013038635
18,11872,-12480.2021484375,-5344.39990234375,0.9942580461502075
19,11976,-12399.1474609375,-12288.599609375,0.9939558506011963
20,12080,-12401.44140625,-4773.5,0.9936536550521851
21,12184,-12380.7314453125,-10731.5,0.9933515787124634
22,12288,-12432.275390625,-6316.0,0.9930493235588074
23,12392,-12451.1181640625,-7051.0,0.9927470088005066
24,12496,-12363.1005859375,-11001.400390625,0.9924447536468506
25,12600,-12337.3154296875,-7907.0,0.9921425580978394
26,12704,-12367.1357421875,-6154.7998046875,0.9918404221534729
27,12808,-12320.8232421875,-20875.0,0.9915382862091064
28,12912,-12297.5087890625,-13310.7998046875,0.9912362694740295
29,13016,-12296.1435546875,-14001.400390625,0.9909341335296631
30,13120,-12250.8369140625,-8101.2001953125,0.990632176399231
31,13224,-12237.53125,-13215.5,0.9903302192687988
32,13328,-12226.783203125,-10810.5,0.9900285005569458
33,13432,-12292.26953125,-9938.400390625,0.9897268414497375
34,13536,-12240.310546875,-17900.5,0.9894252419471741
35,13640,-12197.7255859375,-12315.0,0.9891236424446106
36,13744,-12058.951171875,-7181.0,0.9888222217559814
37,13848,-12022.505859375,-16751.80078125,0.9885209202766418
38,13952,-12038.0888671875,-16382.0,0.9882197976112366
39,14056,-12015.7001953125,-8210.7998046875,0.9879189133644104
40,14160,-11954.96484375,-10386.400390625,0.9876182675361633
41,14264,-11929.3349609375,-9882.7998046875,0.9873177409172058
42,14368,-11984.974609375,-6453.39990234375,0.9870173335075378
43,14472,-11962.5068359375,-4673.89990234375,0.9867171049118042
44,14576,-11866.4111328125,-5958.7001953125,0.9864171147346497
45,14680,-11851.548828125,-15913.599609375,0.9861172437667847
46,14784,-11913.689453125,-7900.2998046875,0.9858176112174988
47,14888,-11858.6357421875,-10400.7998046875,0.985518217086792
48,14992,-11812.630859375,-9733.7998046875,0.9852191209793091
49,15096,-11850.228515625,-13981.7001953125,0.98492032289505
50,15200,-11825.2431640625,-10986.7998046875,0.9846216440200806
51,15304,-11872.580078125,-7379.60009765625,0.9843233227729797
52,15408,-11789.4296875,-9586.2001953125,0.9840251803398132
53,15512,-11727.5380859375,-12500.2998046875,0.9837272763252258
